Student ID & Name,Student Athletic Team 1,Applied To Year Semester,Student Domestic/International Status,Student World Region of Citizenship,Student Gender,Student Degree Level,Enrollment College,Primary College Degree Program,Primary Enrollment HEGIS,Class Year Category,Applicant Group,Average Undergraduate Applicant High School GPA,Average ACT Highest Composite Score (Applicants Wanting Test Scores Considered),Average SAT Highest Composite Score (Applicants Wanting Test Scores Considered),Semester 1 GPI,Semester 1 Cum GPA,Semester 2 GPI,Semester 2 Cum GPA,Semester 3 GPI,Semester 3 Cum GPA,Semester 4 GPI,Semester 4 Cum GPA,Semester 5 GPI,Semester 5 Cum GPA,Semester 6 GPI,Semester 6 Cum GPA,Semester 7 GPI,Semester 7 Cum GPA,Semester 8 GPI,Semester 8 Cum GPA,Semester 9 GPI,Semester 9 Cum GPA,Semester 10 GPI,Semester 10 Cum GPA,Semester 11 GPI,Semester 11 Cum GPA,Semester 12 GPI,Semester 12 Cum GPA
355,Curling,"Fall, 2023",International,Wheat,Male,UNDERGRAD,ENG,Bachelor of Science,910,Undergrad Freshman,Freshman,4.3,,,2.62,2.62,2.83,2.74,,,,,,,,,,,,,,,,,,,,
361,Bowling,"Fall, 2021",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,401,Undergrad Senior,Transfer,2.6,,,3.08,3.08,2.85,2.96,3.25,3.06,3.33,3.11,3.43,3.18,3.5,3.21,,,,,,,,,,,,
380,Frisbee,"Fall, 2022",International,Sourdough,Male,UNDERGRAD,ENG,Bachelor of Science,910,Undergrad Sophomore,Freshman,4.0,,1430.0,3.43,3.43,3.53,3.48,3.42,3.46,3.07,3.38,,,,,,,,,,,,,,,,
383,Climbing,"Fall, 2020",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,317,Undergrad Senior,Freshman,3.4,,1230.0,2.58,2.58,2.26,2.4,2.93,2.49,3.58,2.72,3.43,2.88,3.33,2.94,3.6,3.04,3.6,3.1,,,,,,,,
410,Curling,"Fall, 2023",International,Wheat,Male,UNDERGRAD,CAS,Bachelor of Arts,11,Undergrad Freshman,Freshman,3.4,,,2.8,2.8,2.94,2.88,,,,,,,,,,,,,,,,,,,,
412,Frisbee,"Fall, 2020",International,Sourdough,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Senior,Freshman,3.5,,1210.0,3.4,3.4,3.7,3.56,3.0,3.38,3.85,3.49,3.6,3.51,3.5,3.51,3.68,3.54,3.4,3.52,,,,,,,,
413,Curling,"Fall, 2020",International,Ciabatta ,Male,UNDERGRAD,CAS,Bachelor of Arts,2291,Undergrad Senior,Freshman,3.2,,1350.0,2.58,2.58,2.83,2.7,2.9,2.75,2.65,2.73,2.93,2.77,3.0,2.81,2.75,2.8,2.74,2.79,,,,,,,,
416,Fencing,"Fall, 2022",International,Wheat,Female,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Sophomore,Freshman,3.9,,1340.0,3.25,3.25,3.71,3.49,3.7,3.56,3.76,3.62,,,,,,,,,,,,,,,,
419,Handball,"Fall, 2021",International,Wheat,Female,UNDERGRAD,ENG,Bachelor of Science,905,Undergrad Junior,Freshman,3.8,,,3.93,3.93,3.8,3.86,3.78,3.83,3.43,3.73,3.65,3.72,3.6,3.7,,,,,,,,,,,,
428,Cricket,"Fall, 2023",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,11,Undergrad Sophomore,Transfer,2.7,,,3.8,3.82,3.17,3.58,,,,,,,,,,,,,,,,,,,,
430,Pickeball,"Fall, 2023",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,441,Undergrad Freshman,Freshman,3.8,,,3.33,3.33,3.3,3.32,,,,,,,,,,,,,,,,,,,,
432,Cricket,"Fall, 2023",International,Sourdough,Female,UNDERGRAD,SAR,Bachelor of Science,21,Undergrad Freshman,Freshman,3.8,,,3.63,3.63,3.93,3.79,,,,,,,,,,,,,,,,,,,,
